Day,Temperature,Condition,Demand
1,71,Rainy,782
2,61,Sunny,881
3,72,Sunny,828
4,74,Rainy,826
5,69,Sunny,879
6,66,Cloudy,862
7,84,Rainy,898
8,79,Rainy,851
9,64,Sunny,868
10,66,Cloudy,945
11,77,Cloudy,938
12,71,Sunny,884
13,84,Sunny,892
14,69,Cloudy,1033
15,64,Rainy,805
16,64,Sunny,833
17,65,Rainy,764
18,76,Rainy,839
19,84,Rainy,872
20,73,Cloudy,881
21,82,Rainy,862
22,87,Rainy,788
23,87,Cloudy,1039
24,60,Cloudy,944
25,81,Rainy,839
26,88,Rainy,840
27,63,Sunny,853
28,72,Cloudy,961
29,72,Sunny,906
30,89,Cloudy,941
31,85,Rainy,855
32,72,Cloudy,1056
33,66,Cloudy,961
34,77,Cloudy,966
35,65,Cloudy,928
36,77,Rainy,805
37,60,Sunny,837
38,85,Cloudy,1009
39,82,Rainy,859
40,74,Rainy,791
41,72,Cloudy,958
42,72,Sunny,910
43,88,Cloudy,965
44,78,Cloudy,991
45,70,Rainy,800
46,61,Sunny,828
47,62,Rainy,809
48,74,Cloudy,946
49,75,Sunny,885
50,84,Sunny,930
51,65,Rainy,801
52,88,Sunny,935
53,64,Sunny,830
54,89,Rainy,817
55,80,Cloudy,994
56,81,Sunny,972
57,63,Cloudy,983
58,89,Sunny,951
59,87,Sunny,951
60,63,Cloudy,979
61,85,Cloudy,1050
62,89,Cloudy,1030
63,61,Sunny,836
64,69,Cloudy,904
65,62,Sunny,872
66,72,Cloudy,954
67,75,Rainy,792
68,65,Cloudy,955
69,81,Sunny,904
70,72,Cloudy,920
71,73,Sunny,906
72,72,Rainy,845
73,61,Cloudy,946
74,69,Rainy,755
75,88,Sunny,979
76,85,Sunny,886
77,81,Cloudy,1022
78,69,Rainy,807
79,68,Cloudy,960
80,77,Cloudy,1044
81,71,Rainy,810
82,82,Sunny,914
83,73,Rainy,818
84,85,Rainy,817
85,70,Rainy,841
86,70,Sunny,885
87,81,Sunny,900
88,84,Sunny,919
89,85,Rainy,779
90,81,Cloudy,1003
91,68,Cloudy,978
92,63,Sunny,881
93,71,Cloudy,1021
94,70,Cloudy,968
95,85,Cloudy,1035
96,80,Rainy,803
97,86,Rainy,818
98,89,Cloudy,1093
99,81,Rainy,781
100,67,Rainy,800
