Day,Temperature,Condition,Demand
1,65,Rainy,665
2,79,Rainy,730
3,60,Cloudy,597
4,72,Sunny,746
5,76,Rainy,690
6,81,Rainy,724
7,80,Cloudy,700
8,74,Sunny,752
9,78,Cloudy,753
10,65,Cloudy,561
11,79,Rainy,726
12,70,Sunny,729
13,63,Cloudy,592
14,62,Rainy,648
15,80,Cloudy,653
16,89,Sunny,779
17,76,Cloudy,664
18,89,Rainy,718
19,70,Sunny,675
20,86,Rainy,716
21,71,Sunny,748
22,71,Sunny,705
23,85,Sunny,784
24,81,Cloudy,708
25,86,Rainy,739
26,62,Rainy,589
27,79,Rainy,677
28,69,Cloudy,608
29,86,Cloudy,725
30,82,Cloudy,683
31,80,Sunny,751
32,61,Rainy,637
33,84,Sunny,779
34,67,Cloudy,624
35,62,Rainy,694
36,86,Cloudy,719
37,80,Cloudy,634
38,72,Rainy,654
39,84,Sunny,788
40,62,Sunny,697
41,86,Rainy,710
42,61,Sunny,725
43,77,Rainy,691
44,63,Sunny,669
45,66,Sunny,711
46,70,Rainy,685
47,85,Sunny,833
48,79,Rainy,787
49,74,Rainy,672
50,78,Rainy,749
51,74,Rainy,651
52,84,Cloudy,693
53,79,Cloudy,659
54,83,Rainy,718
55,73,Sunny,783
56,70,Sunny,679
57,68,Sunny,729
58,85,Cloudy,663
59,70,Sunny,686
60,89,Cloudy,747
61,70,Sunny,715
62,67,Cloudy,644
63,87,Cloudy,714
64,86,Rainy,748
65,88,Cloudy,697
66,87,Cloudy,737
67,78,Rainy,698
68,84,Sunny,775
69,74,Cloudy,644
70,66,Sunny,670
71,86,Cloudy,710
72,60,Cloudy,607
73,83,Sunny,717
74,73,Rainy,700
75,77,Rainy,700
76,61,Cloudy,589
77,62,Rainy,625
78,78,Rainy,657
79,70,Rainy,688
80,78,Sunny,751
81,71,Cloudy,644
82,76,Sunny,723
83,68,Sunny,675
84,63,Cloudy,594
85,78,Sunny,774
86,89,Cloudy,678
87,85,Sunny,765
88,80,Rainy,703
89,88,Cloudy,707
90,83,Cloudy,713
91,66,Rainy,695
92,79,Cloudy,674
93,84,Rainy,707
94,69,Rainy,731
95,78,Rainy,703
96,67,Rainy,659
97,60,Sunny,704
98,65,Sunny,659
99,74,Rainy,707
100,86,Cloudy,714
