Day,Temperature,Condition,Sales
1,89,Rainy,694
2,60,Sunny,500
3,87,Cloudy,622
4,62,Rainy,588
5,60,Rainy,556
6,83,Sunny,613
7,80,Rainy,649
8,77,Rainy,653
9,77,Sunny,609
10,72,Rainy,655
11,74,Sunny,581
12,65,Cloudy,544
13,81,Sunny,531
14,84,Rainy,634
15,61,Sunny,514
16,78,Sunny,536
17,82,Sunny,629
18,85,Sunny,541
19,75,Cloudy,585
20,73,Sunny,576
21,73,Cloudy,615
22,67,Cloudy,616
23,64,Sunny,518
24,64,Rainy,585
25,75,Sunny,573
26,69,Rainy,611
27,72,Cloudy,589
28,79,Sunny,578
29,78,Cloudy,593
30,86,Sunny,556
