Day,Temperature,Condition,Sales
1,74,Sunny,743
2,69,Rainy,654
3,85,Rainy,741
4,89,Rainy,722
5,69,Rainy,708
6,74,Rainy,687
7,70,Rainy,653
8,89,Cloudy,725
9,67,Sunny,696
10,71,Rainy,671
11,84,Sunny,789
12,72,Cloudy,650
13,69,Cloudy,652
14,82,Rainy,728
15,63,Cloudy,681
16,88,Sunny,779
17,62,Sunny,699
18,68,Rainy,698
19,78,Rainy,701
20,84,Cloudy,674
21,66,Rainy,674
22,88,Sunny,821
23,75,Rainy,682
24,67,Rainy,662
25,81,Sunny,730
26,67,Rainy,631
27,70,Rainy,654
28,80,Cloudy,704
29,83,Cloudy,640
30,62,Cloudy,613
