Day,Temperature,Condition,Sales
1,89,Rainy,694
2,60,Sunny,500
3,87,Cloudy,622
4,62,Rainy,588
5,60,Rainy,556
6,83,Sunny,613
7,80,Rainy,649
8,77,Rainy,653
9,77,Sunny,609
10,72,Rainy,655
11,74,Sunny,581
12,65,Cloudy,544
13,81,Sunny,531
14,84,Rainy,634
15,61,Sunny,514
16,78,Sunny,536
17,82,Sunny,629
18,85,Sunny,541
19,75,Cloudy,585
20,73,Sunny,576
21,73,Cloudy,615
22,67,Cloudy,616
23,64,Sunny,518
24,64,Rainy,585
25,75,Sunny,573
26,69,Rainy,611
27,72,Cloudy,589
28,79,Sunny,578
29,78,Cloudy,593
30,86,Sunny,556
31,66,Cloudy,585
32,60,Sunny,514
33,67,Cloudy,589
34,74,Sunny,542
35,80,Rainy,628
36,80,Rainy,657
37,72,Rainy,641
38,74,Rainy,607
39,64,Rainy,566
40,60,Cloudy,550
41,63,Rainy,565
42,68,Rainy,574
43,73,Sunny,586
44,61,Cloudy,518
45,86,Cloudy,655
46,68,Rainy,569
47,65,Cloudy,613
48,60,Sunny,522
49,62,Cloudy,559
50,63,Sunny,449
51,67,Cloudy,585
52,86,Cloudy,643
53,62,Sunny,551
54,62,Rainy,580
55,76,Sunny,552
56,60,Sunny,506
57,86,Cloudy,627
58,82,Rainy,649
59,67,Rainy,652
60,74,Cloudy,615
61,85,Rainy,654
62,65,Sunny,551
63,64,Cloudy,508
64,68,Cloudy,590
65,69,Cloudy,576
66,74,Sunny,567
67,72,Sunny,575
68,71,Sunny,556
69,64,Rainy,636
70,65,Rainy,571
71,76,Cloudy,608
72,62,Sunny,525
73,84,Cloudy,648
74,72,Cloudy,601
75,86,Rainy,651
76,73,Rainy,658
77,75,Cloudy,617
78,60,Rainy,584
79,80,Cloudy,594
80,83,Cloudy,618
81,66,Sunny,538
82,81,Rainy,677
83,85,Cloudy,614
84,78,Cloudy,648
85,80,Sunny,583
86,71,Sunny,533
87,65,Sunny,505
88,73,Sunny,544
89,84,Cloudy,600
90,79,Rainy,678
91,78,Cloudy,585
92,83,Rainy,669
93,76,Rainy,650
94,63,Cloudy,572
95,76,Rainy,636
96,71,Rainy,649
97,80,Sunny,611
98,67,Rainy,613
99,63,Cloudy,549
100,69,Sunny,556
