Day,Temperature,Condition,Demand
1,63,Cloudy,635
2,89,Cloudy,680
3,65,Rainy,655
4,64,Cloudy,593
5,76,Sunny,733
6,89,Sunny,782
7,75,Rainy,743
8,74,Sunny,724
9,86,Rainy,711
10,75,Cloudy,655
11,84,Sunny,751
12,80,Cloudy,743
13,83,Cloudy,691
14,89,Cloudy,769
15,71,Cloudy,633
16,73,Sunny,711
17,71,Rainy,657
18,65,Rainy,656
19,74,Rainy,671
20,73,Cloudy,630
21,64,Rainy,635
22,82,Rainy,731
23,65,Rainy,685
24,77,Rainy,715
25,62,Sunny,675
26,67,Cloudy,605
27,85,Sunny,756
28,62,Rainy,615
29,69,Sunny,670
30,77,Rainy,711
