Day,Temperature,Condition,Demand
1,88.15630646336652,Cloudy,651
2,86.23283306892628,Cloudy,608
3,70.96630033150609,Cloudy,590
4,72.98718839091583,Sunny,535
5,82.60178935369561,Sunny,513
6,79.90382914892577,Cloudy,602
7,79.21819994655354,Sunny,598
8,86.92874469651316,Sunny,639
9,75.10528617776245,Cloudy,605
10,88.81584657301002,Sunny,582
11,70.48931163758473,Sunny,581
12,70.04336711021297,Cloudy,549
13,82.75588859466644,Cloudy,623
14,87.98798650409466,Cloudy,648
15,72.80679213945139,Cloudy,570
16,87.04732610706581,Cloudy,581
17,71.44460940800822,Cloudy,575
18,71.8707926673213,Cloudy,618
19,74.10718229790552,Cloudy,586
20,85.94467665811287,Sunny,603
21,87.76609075151667,Cloudy,696
22,73.85247146890148,Sunny,565
23,72.26955506124979,Cloudy,609
24,77.68227707952367,Sunny,569
25,79.56294761484627,Sunny,566
26,73.09765388402047,Cloudy,610
27,80.92756459998319,Sunny,567
28,89.20182666704144,Cloudy,593
29,84.82754325253309,Sunny,591
30,72.0196943087595,Sunny,574
31,72.35203088370712,Sunny,551
32,71.087285941973,Cloudy,584
33,71.14789832436847,Sunny,556
34,72.33817682710391,Cloudy,591
35,89.70302207381604,Cloudy,647
36,77.22353333012366,Cloudy,624
37,74.1920967419595,Cloudy,590
38,75.43359144843816,Sunny,572
39,81.73789751331225,Cloudy,670
40,82.82333976254954,Sunny,577
41,76.01990701911035,Sunny,550
42,70.85733123163568,Cloudy,589
43,78.82208202445045,Sunny,588
44,74.24083016078959,Cloudy,564
45,82.63153677463137,Sunny,597
46,73.51963577955944,Cloudy,616
47,76.12283861549703,Sunny,590
48,86.28257949663447,Sunny,605
49,78.77274727857333,Sunny,595
50,83.99456556606785,Sunny,627
51,71.34951260003704,Sunny,541
52,73.56000345366076,Cloudy,629
53,76.77917422111108,Cloudy,608
54,86.0280292835217,Sunny,626
55,81.029648338924,Cloudy,570
56,80.82803996784055,Sunny,597
57,78.3165984825774,Sunny,592
58,71.2442092137617,Cloudy,564
59,81.70957831279821,Sunny,612
60,81.85997142077423,Cloudy,614
61,80.49460422736341,Sunny,571
62,74.75329973024935,Cloudy,598
63,85.06192988486119,Sunny,630
64,80.83991463800888,Sunny,615
65,73.89865669603397,Cloudy,575
66,71.85653113846506,Sunny,566
67,80.9063376537088,Sunny,627
68,77.71868656748845,Sunny,590
69,81.1649575229571,Cloudy,617
70,72.02491036710558,Sunny,554
71,70.79917079806289,Sunny,532
72,83.95172128172206,Cloudy,611
73,78.47681521832794,Sunny,551
74,84.65064557020116,Cloudy,630
75,77.43635121147909,Cloudy,589
76,83.48960289428457,Sunny,621
77,81.31044660290259,Cloudy,591
78,87.03951644573338,Sunny,645
79,75.54414084439358,Sunny,579
80,85.91945206556444,Sunny,583
81,85.29498599250567,Sunny,616
82,76.84767171128078,Sunny,592
83,76.71601711153798,Cloudy,578
84,89.02030237904764,Sunny,634
85,75.23280857374557,Sunny,573
86,86.46211238413215,Sunny,643
87,80.25829098665076,Sunny,599
88,73.52152744472097,Sunny,588
89,73.4050859247358,Cloudy,581
90,81.9213516693196,Sunny,606
91,79.60564370714391,Sunny,558
92,78.0751851052396,Cloudy,601
93,76.7448073470708,Cloudy,595
94,87.25703288673284,Sunny,620
95,78.24970264371936,Sunny,596
96,80.17832560007383,Sunny,609
97,83.95649721564561,Sunny,596
98,77.39219540143021,Cloudy,668
99,76.64683004219403,Sunny,570
100,87.34297141309034,Sunny,614
