Day,Temperature,Condition,Demand
1,88.15630646336652,Cloudy,1065
2,86.23283306892628,Cloudy,1096
3,70.96630033150609,Cloudy,938
4,72.98718839091583,Sunny,875
5,82.60178935369561,Sunny,911
6,79.90382914892577,Cloudy,971
7,79.21819994655354,Sunny,867
8,86.92874469651316,Sunny,930
9,75.10528617776245,Cloudy,1007
10,88.81584657301002,Sunny,908
11,70.48931163758473,Sunny,864
12,70.04336711021297,Cloudy,978
13,82.75588859466644,Cloudy,979
14,87.98798650409466,Cloudy,977
15,72.80679213945139,Cloudy,930
16,87.04732610706581,Cloudy,990
17,71.44460940800822,Cloudy,978
18,71.8707926673213,Cloudy,952
19,74.10718229790552,Cloudy,920
20,85.94467665811287,Sunny,868
21,87.76609075151667,Cloudy,990
22,73.85247146890148,Sunny,887
23,72.26955506124979,Cloudy,983
24,77.68227707952367,Sunny,946
25,79.56294761484627,Sunny,866
26,73.09765388402047,Cloudy,956
27,80.92756459998319,Sunny,914
28,89.20182666704144,Cloudy,994
29,84.82754325253309,Sunny,927
30,72.0196943087595,Sunny,842
31,72.35203088370712,Sunny,891
32,71.087285941973,Cloudy,977
33,71.14789832436847,Sunny,865
34,72.33817682710391,Cloudy,974
35,89.70302207381604,Cloudy,982
36,77.22353333012366,Cloudy,989
37,74.1920967419595,Cloudy,1016
38,75.43359144843816,Sunny,891
39,81.73789751331225,Cloudy,966
40,82.82333976254954,Sunny,985
41,76.01990701911035,Sunny,913
42,70.85733123163568,Cloudy,949
43,78.82208202445045,Sunny,898
44,74.24083016078959,Cloudy,963
45,82.63153677463137,Sunny,947
46,73.51963577955944,Cloudy,991
47,76.12283861549703,Sunny,897
48,86.28257949663447,Sunny,934
49,78.77274727857333,Sunny,898
50,83.99456556606785,Sunny,945
51,71.34951260003704,Sunny,890
52,73.56000345366076,Cloudy,943
53,76.77917422111108,Cloudy,1073
54,86.0280292835217,Sunny,983
55,81.029648338924,Cloudy,982
56,80.82803996784055,Sunny,879
57,78.3165984825774,Sunny,922
58,71.2442092137617,Cloudy,1001
59,81.70957831279821,Sunny,906
60,81.85997142077423,Cloudy,1024
61,80.49460422736341,Sunny,890
62,74.75329973024935,Cloudy,991
63,85.06192988486119,Sunny,979
64,80.83991463800888,Sunny,947
65,73.89865669603397,Cloudy,956
66,71.85653113846506,Sunny,872
67,80.9063376537088,Sunny,909
68,77.71868656748845,Sunny,923
69,81.1649575229571,Cloudy,959
70,72.02491036710558,Sunny,849
71,70.79917079806289,Sunny,859
72,83.95172128172206,Cloudy,1019
73,78.47681521832794,Sunny,937
74,84.65064557020116,Cloudy,1031
75,77.43635121147909,Cloudy,924
76,83.48960289428457,Sunny,886
77,81.31044660290259,Cloudy,1004
78,87.03951644573338,Sunny,881
79,75.54414084439358,Sunny,900
80,85.91945206556444,Sunny,934
81,85.29498599250567,Sunny,910
82,76.84767171128078,Sunny,934
83,76.71601711153798,Cloudy,990
84,89.02030237904764,Sunny,1001
85,75.23280857374557,Sunny,923
86,86.46211238413215,Sunny,897
87,80.25829098665076,Sunny,970
88,73.52152744472097,Sunny,930
89,73.4050859247358,Cloudy,989
90,81.9213516693196,Sunny,912
91,79.60564370714391,Sunny,937
92,78.0751851052396,Cloudy,973
93,76.7448073470708,Cloudy,960
94,87.25703288673284,Sunny,906
95,78.24970264371936,Sunny,890
96,80.17832560007383,Sunny,919
97,83.95649721564561,Sunny,940
98,77.39219540143021,Cloudy,1002
99,76.64683004219403,Sunny,907
100,87.34297141309034,Sunny,926
